img,MSE,PSNR,SSIM,CosSimilarity
SaltPepperNoise_0.08,8.5072,0.9736,88.8329,0.6860
SaltPepperNoise_0.10,8.1765,0.9726,89.0052,0.6911
SaltPepperNoise_0.12,8.9031,0.9702,88.6354,0.6646
SpeckleNoise_0.2,16.1688,0.9545,86.0440,0.3392
SpeckleNoise_0.3,16.3738,0.9546,85.9893,0.3293
SpeckleNoise_0.4,16.3402,0.9547,85.9982,0.3312
SpeckleNoise_0.5,15.9468,0.9543,86.1041,0.3401
SpeckleNoise_0.6,16.5105,0.9537,85.9532,0.3205
SpeckleNoise_0.7,16.2597,0.9543,86.0197,0.3305
GaussBlur_5,14.8424,0.9585,86.4158,0.3870
GaussBlur_7,16.1473,0.9557,86.0498,0.3369
GaussBlur_9,17.9681,0.9521,85.5858,0.2673
GaussBlur_11,19.0467,0.9496,85.3326,0.2289
GaussBlur_13,20.0273,0.9471,85.1146,0.1996
GaussBlur_15,20.7291,0.9451,84.9650,0.1760
ColorReduce_32,9.0609,0.9740,88.5591,0.6632
ColorReduce_16,19.0850,0.9586,85.3239,0.2964
ColorReduce_8,18.7824,0.9590,85.3933,0.3052
ColorReduce_4,18.6832,0.9591,85.4163,0.3090
